Database,Credit,Table,CreditCatalogIFCs,
CatalogCode,IfcCode,CreatedOnUtc,UpdatedOnUtc,Id
NR01MMK001,231,,,0
NR01MMK001,232,,,0
NR01MMK001,233,,,0
NRIMMMK002,243,,,0
NRIMMMK002,242,,,0
NRIMMMK002,241,,,0
NR02MMK003,253,,,0
NR02MMK003,252,,,0
NR02MMK003,251,,,0
TLY2MMK004,263,,,0
TLY2MMK004,262,,,0
TLY2MMK004,261,,,0
TLY2MMK005,261,,,0
TLY2MMK005,262,,,0
TLY2MMK005,263,,,0
TLY3MMK006,273,,,0
TLY3MMK006,272,,,0
TLY3MMK006,271,,,0
TLY3MMK007,271,,,0
TLY3MMK007,272,,,0
TLY3MMK007,273,,,0
ST01MMK008,283,,,0
ST01MMK008,282,,,0
ST01MMK008,281,,,0
HP05MMK009,292,,,0
HP05MMK009,291,,,0
HP02MMK010,304,,,0
HP02MMK010,303,,,0
HP02MMK010,302,,,0
HP02MMK010,301,,,0
HP03MMK011,315,,,0
HP03MMK011,314,,,0
HP03MMK011,313,,,0
HP03MMK011,312,,,0
HP03MMK011,311,,,0
HP3YMMK012,324,,,0
HP3YMMK012,323,,,0
HP3YMMK012,322,,,0
HP3YMMK012,321,,,0
NR10MMK013,332,,,0
NR10MMK013,331,,,0
HPA2MMK014,343,,,0
HPA2MMK014,342,,,0
HPA2MMK014,341,,,0
HPA5MMK015,353,,,0
HPA5MMK015,352,,,0
HPA5MMK015,351,,,0
SHLNMMK016,363,,,0
SHLNMMK016,362,,,0
SHLNMMK016,361,,,0
CHL1MMK017,371,,,0
CHL1MMK017,372,,,0
CHL1MMK017,373,,,0
STPLMMK018,383,,,0
STPLMMK018,382,,,0
STPLMMK018,381,,,0
HPA3MMK019,393,,,0
HPA3MMK019,392,,,0
HPA3MMK019,391,,,0
