Database,Deposit,Table,ODCatalogGLs,
CatalogCode,SysAccountName,COAAccount,AccountAlias,Id
OD3MMMK001,CREDIT0,,###1101003010001**,0
OD3MMMK001,CREDIT1,,###1101003010001**,0
OD3MMMK001,CREDIT2,,###1101003010001**,0
OD3MMMK001,CREDIT3,,###1101003010001**,0
OD3MMMK001,CREDIT4,,###1101003010001**,0
OD3MMMK001,PROV_CR_RVS0,,###1101003010001**,0
OD3MMMK001,PROV_CR_RVS1,,###1101003010001**,0
OD3MMMK001,PROV_CR_RVS2,,###1101003010001**,0
OD3MMMK001,PROV_CR_RVS3,,###1101003010001**,0
OD3MMMK001,PROV_CR_RVS4,,###1101003010001**,0
OD3MMMK001,PROV_CR0,,###1101003010001**,0
OD3MMMK001,PROV_CR1,,###1101003010001**,0
OD3MMMK001,PROV_CR2,,###1101003010001**,0
OD3MMMK001,PROV_CR3,,###1101003010001**,0
OD3MMMK001,PROV_CR4,,###1101003010001**,0
OD3MMMK001,PROV_DR_RVS0,,###1101003010001**,0
OD3MMMK001,PROV_DR_RVS1,,###1101003010001**,0
OD3MMMK001,PROV_DR_RVS2,,###1101003010001**,0
OD3MMMK001,PROV_DR_RVS3,,###1101003010001**,0
OD3MMMK001,PROV_DR_RVS4,,###1101003010001**,0
OD3MMMK001,PROV_DR0,,###1101003010001**,0
OD3MMMK001,PROV_DR1,,###1101003010001**,0
OD3MMMK001,PROV_DR2,,###1101003010001**,0
OD3MMMK001,PROV_DR3,,###1101003010001**,0
OD3MMMK001,PROV_DR4,,###1101003010001**,0
ODAFMMK002,CREDIT0,,###1101003010001**,0
ODAFMMK002,CREDIT1,,###1101003010001**,0
ODAFMMK002,CREDIT2,,###1101003010001**,0
ODAFMMK002,CREDIT3,,###1101003010001**,0
ODAFMMK002,CREDIT4,,###1101003010001**,0
ODAFMMK002,PROV_CR_RVS0,,###1101003010001**,0
ODAFMMK002,PROV_CR_RVS1,,###1101003010001**,0
ODAFMMK002,PROV_CR_RVS2,,###1101003010001**,0
ODAFMMK002,PROV_CR_RVS3,,###1101003010001**,0
ODAFMMK002,PROV_CR_RVS4,,###1101003010001**,0
ODAFMMK002,PROV_CR0,,###1101003010001**,0
ODAFMMK002,PROV_CR1,,###1101003010001**,0
ODAFMMK002,PROV_CR2,,###1101003010001**,0
ODAFMMK002,PROV_CR3,,###1101003010001**,0
ODAFMMK002,PROV_CR4,,###1101003010001**,0
ODAFMMK002,PROV_DR_RVS0,,###1101003010001**,0
ODAFMMK002,PROV_DR_RVS1,,###1101003010001**,0
ODAFMMK002,PROV_DR_RVS2,,###1101003010001**,0
ODAFMMK002,PROV_DR_RVS3,,###1101003010001**,0
ODAFMMK002,PROV_DR_RVS4,,###1101003010001**,0
ODAFMMK002,PROV_DR0,,###1101003010001**,0
ODAFMMK002,PROV_DR1,,###1101003010001**,0
ODAFMMK002,PROV_DR2,,###1101003010001**,0
ODAFMMK002,PROV_DR3,,###1101003010001**,0
ODAFMMK002,PROV_DR4,,###1101003010001**,0
ODAHMMK003,CREDIT0,,###1101003010001**,0
ODAHMMK003,CREDIT1,,###1101003010001**,0
ODAHMMK003,CREDIT2,,###1101003010001**,0
ODAHMMK003,CREDIT3,,###1101003010001**,0
ODAHMMK003,CREDIT4,,###1101003010001**,0
ODAHMMK003,PROV_CR_RVS0,,###1101003010001**,0
ODAHMMK003,PROV_CR_RVS1,,###1101003010001**,0
ODAHMMK003,PROV_CR_RVS2,,###1101003010001**,0
ODAHMMK003,PROV_CR_RVS3,,###1101003010001**,0
ODAHMMK003,PROV_CR_RVS4,,###1101003010001**,0
ODAHMMK003,PROV_CR0,,###1101003010001**,0
ODAHMMK003,PROV_CR1,,###1101003010001**,0
ODAHMMK003,PROV_CR2,,###1101003010001**,0
ODAHMMK003,PROV_CR3,,###1101003010001**,0
ODAHMMK003,PROV_CR4,,###1101003010001**,0
ODAHMMK003,PROV_DR_RVS0,,###1101003010001**,0
ODAHMMK003,PROV_DR_RVS1,,###1101003010001**,0
ODAHMMK003,PROV_DR_RVS2,,###1101003010001**,0
ODAHMMK003,PROV_DR_RVS3,,###1101003010001**,0
ODAHMMK003,PROV_DR_RVS4,,###1101003010001**,0
ODAHMMK003,PROV_DR0,,###1101003010001**,0
ODAHMMK003,PROV_DR1,,###1101003010001**,0
ODAHMMK003,PROV_DR2,,###1101003010001**,0
ODAHMMK003,PROV_DR3,,###1101003010001**,0
ODAHMMK003,PROV_DR4,,###1101003010001**,0
